Time_abs/ps, Signal 1/nA, Signal 2/nA
  1240.000,     0.023667,    -0.012972
  1240.050,     0.015022,    -0.016962
  1240.100,    -0.047303,     0.005904
  1240.150,     0.034516,    -0.006357
  1240.200,    -0.025902,     0.030386
  1240.250,     0.115897,    -0.013536
  1240.300,    -0.055286,    -0.036213
  1240.350,     0.108415,    -0.032219
  1240.400,     0.026490,     0.024105
  1240.450,     0.059964,     0.014046
  1240.500,     0.052187,    -0.008167
  1240.550,     0.036683,    -0.003589
  1240.600,    -0.092280,    -0.013067
  1240.650,    -0.060049,    -0.010935
  1240.700,    -0.029826,    -0.018650
  1240.750,    -0.156401,     0.037943
  1240.800,    -0.172997,    -0.026637
  1240.850,    -0.202862,    -0.013425
  1240.900,    -0.229959,    -0.020234
  1240.950,    -0.281181,     0.015376
  1241.000,    -0.320733,     0.027060
  1241.050,    -0.362620,    -0.003427
  1241.100,    -0.405365,     0.000949
  1241.150,    -0.435317,    -0.027948
  1241.200,    -0.466205,    -0.037120
  1241.250,    -0.482203,     0.018888
  1241.300,    -0.439295,     0.010623
  1241.350,    -0.518545,     0.033346
  1241.400,    -0.483213,    -0.004994
  1241.450,    -0.625812,    -0.014018
  1241.500,    -0.563881,    -0.024202
  1241.550,    -0.583904,    -0.020772
  1241.600,    -0.527639,     0.009020
  1241.650,    -0.577583,     0.042316
  1241.700,    -0.655972,     0.015906
  1241.750,    -0.725378,     0.002562
  1241.800,    -0.665235,    -0.025529
  1241.850,    -0.645124,     0.009023
  1241.900,    -0.602377,     0.021858
  1241.950,    -0.623495,     0.008049
  1242.000,    -0.637478,     0.019538
  1242.050,    -0.638083,    -0.001037
  1242.100,    -0.615027,    -0.021143
  1242.150,    -0.620119,    -0.030001
  1242.200,    -0.596534,    -0.012000
  1242.250,    -0.452956,     0.038822
  1242.300,    -0.541843,     0.021446
  1242.350,    -0.470737,     0.010975
  1242.400,    -0.475210,    -0.028167
  1242.450,    -0.454708,    -0.039534
  1242.500,    -0.448326,    -0.034254
  1242.550,    -0.397225,     0.019390
  1242.600,    -0.279823,     0.043858
  1242.650,    -0.293652,     0.019263
  1242.700,    -0.377984,    -0.019682
  1242.750,    -0.509713,    -0.022143
  1242.800,    -0.379277,    -0.029017
  1242.850,    -0.426471,    -0.005050
  1242.900,    -0.485376,     0.024225
  1242.950,    -0.443079,     0.039229
  1243.000,    -0.409652,     0.017362
  1243.050,    -0.531595,     0.001354
  1243.100,    -0.526507,    -0.019908
  1243.150,    -0.599312,    -0.037138
  1243.200,    -0.577517,     0.001551
  1243.250,    -0.512318,     0.031738
  1243.300,    -0.513961,     0.026385
  1243.350,    -0.557060,     0.024456
  1243.400,    -0.555688,     0.004793
  1243.450,    -0.626779,    -0.041811
  1243.500,    -0.756945,    -0.013412
  1243.550,    -0.658795,    -0.013697
  1243.600,    -0.763169,     0.028572
  1243.650,    -0.714756,     0.021284
  1243.700,    -0.768404,    -0.001756
  1243.750,    -0.792969,     0.018632
  1243.800,    -0.883018,    -0.025918
  1243.850,    -0.983820,    -0.007965
  1243.900,    -0.997598,    -0.015782
  1243.950,    -1.012480,    -0.005268
  1244.000,    -1.031734,    -0.004645
  1244.050,    -1.062819,    -0.003892
  1244.100,    -1.122807,     0.013498
  1244.150,    -1.141814,    -0.015383
  1244.200,    -1.258464,    -0.037994
  1244.250,    -1.291793,    -0.018875
  1244.300,    -1.238682,     0.002126
  1244.350,    -1.260170,    -0.003676
  1244.400,    -1.314338,    -0.010694
  1244.450,    -1.368545,     0.006068
  1244.500,    -1.491984,     0.007894
  1244.550,    -1.491107,    -0.003690
  1244.600,    -1.532395,    -0.027768
  1244.650,    -1.579587,    -0.025135
  1244.700,    -1.605663,    -0.011435
  1244.750,    -1.719767,    -0.010765
  1244.800,    -1.765916,     0.001205
  1244.850,    -1.812816,     0.019353
  1244.900,    -1.823447,     0.001380
  1244.950,    -1.902355,    -0.008498
  1245.000,    -1.887917,     0.006132
  1245.050,    -1.985184,    -0.016370
  1245.100,    -2.018957,    -0.025807
  1245.150,    -2.018062,    -0.022537
  1245.200,    -2.017687,     0.015618
  1245.250,    -2.077277,     0.025986
  1245.300,    -2.042904,     0.022248
  1245.350,    -2.067754,     0.014683
  1245.400,    -2.166219,     0.005013
  1245.450,    -2.172142,    -0.028294
  1245.500,    -2.168697,    -0.042822
  1245.550,    -2.009427,    -0.015048
  1245.600,    -2.078133,     0.007144
  1245.650,    -2.035571,     0.022606
  1245.700,    -2.067964,     0.040120
  1245.750,    -2.034450,    -0.012696
  1245.800,    -2.029792,    -0.017513
  1245.850,    -2.016457,    -0.032480
  1245.900,    -2.045351,    -0.022733
  1245.950,    -2.032684,     0.012664
  1246.000,    -1.981945,    -0.009877
  1246.050,    -1.972881,     0.020774
  1246.100,    -1.907034,     0.040930
  1246.150,    -1.955389,     0.008569
  1246.200,    -1.897198,    -0.011616
  1246.250,    -1.917950,    -0.029624
  1246.300,    -1.891865,    -0.014644
  1246.350,    -1.931792,    -0.011234
  1246.400,    -1.954186,     0.012082
  1246.450,    -1.928146,     0.029550
  1246.500,    -1.881489,     0.015342
  1246.550,    -1.974037,    -0.020014
  1246.600,    -1.933112,    -0.034639
  1246.650,    -1.955225,    -0.031286
  1246.700,    -1.861559,    -0.015924
  1246.750,    -1.832425,     0.000109
  1246.800,    -1.821584,     0.039565
  1246.850,    -1.847559,     0.023676
  1246.900,    -1.810666,     0.003578
  1246.950,    -1.833075,     0.017669
  1247.000,    -1.816735,    -0.002322
  1247.050,    -1.788716,    -0.018338
  1247.100,    -1.783404,    -0.025230
  1247.150,    -1.719152,    -0.026113
  1247.200,    -1.721434,     0.010814
  1247.250,    -1.779716,     0.020572
  1247.300,    -1.741895,     0.020800
  1247.350,    -1.690909,     0.019695
  1247.400,    -1.665646,     0.003919
  1247.450,    -1.719473,    -0.006291
  1247.500,    -1.765615,    -0.001787
  1247.550,    -1.726640,    -0.021644
  1247.600,    -1.758321,    -0.018912
  1247.650,    -1.767595,    -0.001891
  1247.700,    -1.654679,     0.035661
  1247.750,    -1.712825,     0.024163
  1247.800,    -1.728238,    -0.011317
  1247.850,    -1.653017,    -0.026663
  1247.900,    -1.804865,    -0.014445
  1247.950,    -1.759344,    -0.016778
  1248.000,    -1.758379,     0.002695
  1248.050,    -1.738925,    -0.010862
  1248.100,    -1.810249,    -0.014010
  1248.150,    -1.742423,     0.015792
  1248.200,    -1.706597,     0.034799
  1248.250,    -1.735810,     0.035321
  1248.300,    -1.707842,     0.003104
  1248.350,    -1.757446,    -0.006952
  1248.400,    -1.743770,    -0.032310
  1248.450,    -1.691140,    -0.033129
  1248.500,    -1.645241,    -0.028672
  1248.550,    -1.616210,     0.009239
  1248.600,    -1.546446,     0.030895
  1248.650,    -1.505159,     0.031202
  1248.700,    -1.578961,     0.020055
  1248.750,    -1.570454,    -0.002615
  1248.800,    -1.548060,    -0.035926
  1248.850,    -1.549618,    -0.025338
  1248.900,    -1.501784,    -0.038842
  1248.950,    -1.511891,    -0.028595
  1249.000,    -1.561098,     0.006320
  1249.050,    -1.529711,     0.005636
  1249.100,    -1.534129,     0.020096
  1249.150,    -1.483919,    -0.001703
  1249.200,    -1.484598,    -0.028546
  1249.250,    -1.524245,    -0.019737
  1249.300,    -1.547317,    -0.041536
  1249.350,    -1.578362,    -0.011359
  1249.400,    -1.445779,     0.029652
  1249.450,    -1.337532,     0.003967
  1249.500,    -1.299642,     0.011511
  1249.550,    -1.339453,     0.031752
  1249.600,    -1.352101,     0.008468
  1249.650,    -1.264032,    -0.032966
  1249.700,    -1.189909,    -0.037009
  1249.750,    -1.179928,    -0.015351
  1249.800,    -1.084893,     0.009093
  1249.850,    -1.035448,    -0.027892
  1249.900,    -0.996656,    -0.006338
  1249.950,    -0.939787,     0.040168
  1250.000,    -0.933977,     0.019477
  1250.050,    -0.854049,    -0.004438
  1250.100,    -0.870160,     0.027194
  1250.150,    -0.832572,    -0.009901
  1250.200,    -0.763677,    -0.035305
  1250.250,    -0.791261,    -0.006740
  1250.300,    -0.773887,    -0.016426
  1250.350,    -0.740232,    -0.024415
  1250.400,    -0.844212,     0.001824
  1250.450,    -0.842800,     0.046631
  1250.500,    -0.692668,     0.023703
  1250.550,    -0.737987,     0.033583
