Time_abs/ps, Signal 1/nA, Signal 2/nA
  1240.000,    -0.131185,    -0.022769
  1240.050,    -0.027130,    -0.000960
  1240.100,     0.013827,    -0.006109
  1240.150,     0.020263,     0.033051
  1240.200,     0.124224,    -0.003213
  1240.250,     0.057704,    -0.006261
  1240.300,     0.097431,    -0.004742
  1240.350,     0.105624,     0.012663
  1240.400,     0.089537,     0.029925
  1240.450,     0.097923,    -0.003743
  1240.500,     0.073920,    -0.035703
  1240.550,     0.085842,    -0.003270
  1240.600,     0.065794,     0.005127
  1240.650,     0.010112,     0.008669
  1240.700,     0.002004,     0.026985
  1240.750,    -0.091313,    -0.010876
  1240.800,    -0.129165,     0.013892
  1240.850,    -0.110585,    -0.037247
  1240.900,    -0.140777,    -0.005048
  1240.950,    -0.066870,     0.015897
  1241.000,    -0.070748,     0.016844
  1241.050,    -0.065263,    -0.011516
  1241.100,    -0.068009,    -0.009722
  1241.150,    -0.150695,    -0.000970
  1241.200,    -0.129313,    -0.006152
  1241.250,    -0.107016,     0.009309
  1241.300,    -0.101191,     0.014328
  1241.350,    -0.180066,     0.006282
  1241.400,    -0.147356,    -0.008329
  1241.450,    -0.140444,     0.007606
  1241.500,    -0.156598,    -0.009288
  1241.550,    -0.153965,     0.009400
  1241.600,    -0.133860,     0.026587
  1241.650,    -0.257341,     0.022025
  1241.700,    -0.244123,    -0.008759
  1241.750,    -0.264752,    -0.019073
  1241.800,    -0.350998,    -0.019658
  1241.850,    -0.334760,     0.009637
  1241.900,    -0.314069,     0.031650
  1241.950,    -0.313546,    -0.017185
  1242.000,    -0.280683,    -0.004407
  1242.050,    -0.319390,    -0.007810
  1242.100,    -0.368517,     0.014126
  1242.150,    -0.340599,    -0.012496
  1242.200,    -0.341510,    -0.002883
  1242.250,    -0.279532,     0.022639
  1242.300,    -0.359696,    -0.004822
  1242.350,    -0.310045,    -0.033855
  1242.400,    -0.456073,    -0.034579
  1242.450,    -0.431453,    -0.044454
  1242.500,    -0.463634,    -0.022019
  1242.550,    -0.496958,    -0.000487
  1242.600,    -0.469013,     0.024177
  1242.650,    -0.526270,     0.032762
  1242.700,    -0.635537,    -0.000945
  1242.750,    -0.651479,    -0.012864
  1242.800,    -0.640236,    -0.010338
  1242.850,    -0.632293,     0.044189
  1242.900,    -0.657544,     0.041062
  1242.950,    -0.637180,     0.011230
  1243.000,    -0.676197,    -0.004190
  1243.050,    -0.685191,     0.019700
  1243.100,    -0.698032,    -0.032539
  1243.150,    -0.809727,     0.006543
  1243.200,    -0.736707,    -0.000705
  1243.250,    -0.720703,     0.005874
  1243.300,    -0.740323,     0.036445
  1243.350,    -0.848196,     0.021268
  1243.400,    -0.820554,    -0.004372
  1243.450,    -1.022608,    -0.016781
  1243.500,    -0.954439,    -0.002573
  1243.550,    -0.963552,    -0.001594
  1243.600,    -0.959722,    -0.002104
  1243.650,    -1.010755,     0.026306
