Time_abs/ps, Signal 1/nA, Signal 2/nA
  1878.000,     0.039636,     0.026090
  1878.050,    -0.022806,     0.029124
  1878.100,     0.001383,    -0.017295
  1878.150,     0.001508,    -0.008982
  1878.200,    -0.019721,    -0.028937
  1878.250,    -0.032621,    -0.039721
  1878.300,    -0.096676,    -0.034819
  1878.350,    -0.008126,    -0.040379
  1878.400,    -0.025093,    -0.025680
  1878.450,     0.031137,    -0.017632
  1878.500,    -0.051779,    -0.020567
  1878.550,     0.053895,     0.005168
  1878.600,     0.005490,     0.015466
  1878.650,     0.087373,     0.041265
  1878.700,     0.024786,     0.029680
  1878.750,     0.050187,     0.035106
  1878.800,     0.085583,    -0.008239
  1878.850,     0.034600,    -0.009260
  1878.900,     0.040907,    -0.010622
  1878.950,     0.026285,    -0.025570
  1879.000,     0.056588,    -0.038355
  1879.050,     0.042356,    -0.042371
  1879.100,     0.073808,    -0.052915
  1879.150,     0.040992,    -0.002760
  1879.200,     0.038971,    -0.051909
  1879.250,     0.137312,    -0.021692
  1879.300,     0.135376,     0.001996
  1879.350,     0.174489,     0.020833
  1879.400,     0.126846,    -0.000423
  1879.450,     0.152794,     0.043903
  1879.500,     0.146475,     0.062329
  1879.550,     0.070298,     0.066213
  1879.600,     0.082768,     0.017175
  1879.650,     0.076466,     0.014771
  1879.700,     0.134203,    -0.008807
  1879.750,     0.168760,    -0.009073
  1879.800,     0.083386,    -0.001080
  1879.850,     0.167149,    -0.027695
  1879.900,     0.149275,    -0.022069
  1879.950,     0.027954,    -0.042664
  1880.000,     0.216489,    -0.048579
  1880.050,     0.040035,    -0.040680
  1880.100,     0.083357,    -0.014590
  1880.150,     0.020308,    -0.010765
  1880.200,     0.101967,    -0.022200
  1880.250,     0.041515,     0.017778
  1880.300,     0.087611,     0.005852
  1880.350,     0.044464,     0.013820
  1880.400,    -0.023720,     0.032582
  1880.450,     0.050482,    -0.000115
  1880.500,     0.086902,     0.009661
  1880.550,    -0.048921,     0.025853
  1880.600,    -0.104360,     0.006643
  1880.650,    -0.095614,     0.006111
  1880.700,    -0.051373,    -0.018528
  1880.750,    -0.109376,    -0.012629
  1880.800,    -0.108175,    -0.030746
  1880.850,    -0.079241,    -0.034263
  1880.900,    -0.082625,    -0.027433
  1880.950,    -0.048197,    -0.018534
