Time_abs/ps, Signal 1/nA, Signal 2/nA
  1878.000,     0.005308,    -0.026927
  1878.050,    -0.036046,     0.000562
  1878.100,     0.000840,     0.010060
  1878.150,     0.019185,    -0.001438
  1878.200,     0.010713,     0.017743
  1878.250,     0.105573,     0.018807
  1878.300,    -0.014136,     0.017877
  1878.350,     0.089401,    -0.009389
  1878.400,     0.027498,    -0.015589
  1878.450,     0.147410,    -0.033857
  1878.500,    -0.003771,    -0.043776
  1878.550,     0.046537,    -0.032228
  1878.600,     0.051839,    -0.007239
  1878.650,     0.015069,    -0.017972
  1878.700,     0.024325,    -0.010988
  1878.750,     0.015349,    -0.000020
  1878.800,     0.046169,     0.004302
  1878.850,     0.028373,     0.014627
  1878.900,    -0.079774,     0.006914
  1878.950,    -0.020106,     0.030477
  1879.000,    -0.103446,     0.004502
  1879.050,     0.038142,    -0.005582
  1879.100,    -0.078573,     0.004251
  1879.150,     0.021045,    -0.030726
  1879.200,    -0.013949,    -0.015204
  1879.250,     0.000604,    -0.018011
  1879.300,     0.041955,    -0.065938
  1879.350,     0.027491,    -0.032735
  1879.400,    -0.004922,     0.009723
  1879.450,     0.110697,     0.005495
  1879.500,     0.164404,    -0.012664
  1879.550,     0.061535,     0.009998
  1879.600,     0.112700,     0.009159
  1879.650,     0.166320,     0.003449
  1879.700,     0.180825,     0.039500
  1879.750,     0.254933,     0.009157
  1879.800,     0.275213,     0.026627
  1879.850,     0.233741,    -0.023235
  1879.900,     0.300807,    -0.049307
  1879.950,     0.344985,    -0.019013
  1880.000,     0.359538,    -0.043639
  1880.050,     0.317566,    -0.008480
  1880.100,     0.425195,    -0.019723
  1880.150,     0.384359,    -0.053389
  1880.200,     0.541526,     0.000405
  1880.250,     0.496953,    -0.027664
  1880.300,     0.592374,     0.009242
  1880.350,     0.605015,     0.002237
  1880.400,     0.703999,     0.019023
  1880.450,     0.676333,     0.019540
  1880.500,     0.709640,    -0.007625
  1880.550,     0.754184,     0.012225
  1880.600,     0.762538,    -0.001510
  1880.650,     0.725205,    -0.009044
  1880.700,     0.642358,     0.002589
  1880.750,     0.405940,    -0.028395
  1880.800,     0.032220,    -0.024063
  1880.850,    -0.287118,    -0.028468
  1880.900,    -0.837549,    -0.023230
  1880.950,    -1.516775,    -0.009925
  1881.000,    -2.177121,     0.004479
  1881.050,    -2.876275,     0.006935
  1881.100,    -3.637855,     0.002008
  1881.150,    -4.144708,     0.015223
  1881.200,    -4.562819,     0.004457
  1881.250,    -4.858066,     0.010037
  1881.300,    -4.836724,     0.003687
  1881.350,    -4.756510,     0.017870
  1881.400,    -4.430712,     0.011390
  1881.450,    -3.952339,    -0.012846
  1881.500,    -3.317383,    -0.010483
  1881.550,    -2.400636,    -0.008837
  1881.600,    -1.463633,    -0.012996
  1881.650,    -0.273438,    -0.019796
  1881.700,     0.978411,    -0.031183
  1881.750,     2.197153,    -0.035353
  1881.800,     3.495691,    -0.031399
  1881.850,     4.707145,    -0.015766
  1881.900,     5.705788,    -0.012902
  1881.950,     6.375194,    -0.014197
  1882.000,     6.873265,    -0.007914
  1882.050,     6.902869,    -0.003249
  1882.100,     6.804552,     0.007613
  1882.150,     6.332857,     0.009527
  1882.200,     5.712739,     0.024192
  1882.250,     4.969200,     0.004473
  1882.300,     4.265186,     0.014972
  1882.350,     3.607040,     0.001291
  1882.400,     3.055565,    -0.003415
  1882.450,     2.670949,    -0.018369
  1882.500,     2.507045,    -0.052204
  1882.550,     2.499006,    -0.039764
  1882.600,     2.731118,    -0.043609
  1882.650,     3.114339,    -0.036338
  1882.700,     3.771697,    -0.021990
  1882.750,     4.397681,    -0.034450
  1882.800,     5.189874,     0.003739
  1882.850,     6.042496,    -0.011181
  1882.900,     6.920765,     0.024105
  1882.950,     7.811773,     0.017052
  1883.000,     8.712284,     0.020660
  1883.050,     9.664045,     0.032113
  1883.100,    10.579741,     0.031233
  1883.150,    11.618703,     0.014251
  1883.200,    12.713902,    -0.012238
  1883.250,    13.947191,    -0.009016
  1883.300,    15.108752,    -0.043453
  1883.350,    16.582981,    -0.028161
  1883.400,    17.989640,    -0.031326
  1883.450,    19.532421,    -0.023676
  1883.500,    21.248188,    -0.051207
  1883.550,    22.847857,    -0.057384
  1883.600,    24.657414,    -0.023081
  1883.650,    26.503252,    -0.025421
  1883.700,    28.409322,    -0.020560
  1883.750,    30.448725,    -0.017412
  1883.800,    32.431794,    -0.008888
  1883.850,    34.231884,     0.022931
  1883.900,    35.750608,     0.021265
  1883.950,    36.453244,     0.026126
  1884.000,    35.820873,     0.022535
  1884.050,    33.152113,     0.017219
  1884.100,    27.449576,     0.010813
  1884.150,    17.857785,    -0.003551
  1884.200,     3.535663,    -0.001514
  1884.250,   -15.865457,    -0.003463
  1884.300,   -40.304721,    -0.025762
  1884.350,   -68.834671,    -0.031943
  1884.400,   -99.924151,    -0.015460
  1884.450,  -131.861418,    -0.029527
  1884.500,  -162.660686,    -0.029289
  1884.550,  -190.346814,    -0.017818
  1884.600,  -213.512879,    -0.002248
  1884.650,  -231.038227,     0.016696
  1884.700,  -241.776937,     0.035931
  1884.750,  -244.889073,     0.008812
  1884.800,  -239.634006,     0.029739
  1884.850,  -225.779390,     0.028100
  1884.900,  -202.923545,     0.042698
  1884.950,  -171.259182,     0.032139
  1885.000,  -131.273412,     0.027347
  1885.050,   -84.045845,     0.004808
  1885.100,   -31.115069,     0.004828
  1885.150,    24.871934,    -0.001488
  1885.200,    81.219966,    -0.026434
  1885.250,   134.603601,    -0.032629
  1885.300,   182.123635,    -0.049576
  1885.350,   220.909890,    -0.078977
  1885.400,   248.584959,    -0.053425
  1885.450,   263.505527,    -0.047597
  1885.500,   265.565365,    -0.056819
  1885.550,   255.472809,    -0.063185
  1885.600,   235.027410,    -0.049985
  1885.650,   206.621918,    -0.036162
  1885.700,   173.135583,    -0.010997
  1885.750,   137.302738,    -0.011892
  1885.800,   101.640932,     0.008060
  1885.850,    68.352115,     0.023516
  1885.900,    39.096410,     0.014563
  1885.950,    15.026776,     0.019474
  1886.000,    -3.169239,     0.021586
  1886.050,   -15.552827,     0.005253
  1886.100,   -22.842540,     0.020816
  1886.150,   -25.642014,     0.001661
  1886.200,   -25.081088,    -0.016403
  1886.250,   -22.375722,    -0.020969
  1886.300,   -18.753270,    -0.036271
  1886.350,   -14.796430,    -0.005143
  1886.400,   -11.270777,    -0.049823
  1886.450,    -7.963999,    -0.033517
  1886.500,    -4.741112,    -0.024672
  1886.550,    -1.683105,    -0.038462
  1886.600,     1.346121,    -0.017128
  1886.650,     3.798058,    -0.001733
  1886.700,     5.522680,    -0.016321
  1886.750,     6.254476,     0.011670
  1886.800,     5.497781,     0.024926
  1886.850,     3.253009,     0.009197
  1886.900,    -0.284031,     0.018537
  1886.950,    -5.000827,     0.028266
  1887.000,   -10.042380,     0.007757
  1887.050,   -14.718163,     0.003899
  1887.100,   -18.167580,     0.006763
  1887.150,   -19.925467,    -0.015922
  1887.200,   -19.628016,    -0.005735
  1887.250,   -17.343367,    -0.003861
  1887.300,   -13.267431,    -0.030275
  1887.350,    -7.996334,    -0.049430
  1887.400,    -2.404344,    -0.038969
  1887.450,     2.437162,    -0.027530
  1887.500,     5.906122,    -0.008840
  1887.550,     7.383142,    -0.018720
  1887.600,     6.949515,    -0.001830
  1887.650,     4.867133,    -0.005003
  1887.700,     1.627078,    -0.008709
  1887.750,    -2.357278,    -0.003714
  1887.800,    -6.548153,    -0.005202
  1887.850,   -10.289805,     0.001967
  1887.900,   -13.435639,     0.001505
  1887.950,   -15.510912,     0.019257
  1888.000,   -16.559980,    -0.009802
  1888.050,   -16.627360,    -0.015048
  1888.100,   -16.248067,    -0.002487
  1888.150,   -15.390585,    -0.019636
  1888.200,   -14.211379,    -0.013655
  1888.250,   -12.893387,    -0.023306
  1888.300,   -11.199972,     0.000239
  1888.350,    -9.283443,    -0.005903
  1888.400,    -6.891059,    -0.004855
  1888.450,    -4.316744,    -0.018155
  1888.500,    -1.523083,     0.002410
  1888.550,     0.904606,    -0.008689
  1888.600,     2.397085,    -0.006856
  1888.650,     2.629253,    -0.002995
  1888.700,     1.666386,    -0.007671
  1888.750,    -0.506688,     0.006208
  1888.800,    -3.749272,     0.020148
  1888.850,    -7.410109,    -0.002975
  1888.900,   -11.177605,    -0.014850
  1888.950,   -14.432128,    -0.004363
  1889.000,   -16.779369,    -0.003188
  1889.050,   -18.208526,    -0.019522
  1889.100,   -18.491176,    -0.023327
  1889.150,   -17.874564,    -0.020261
  1889.200,   -16.630182,    -0.028117
  1889.250,   -15.082852,    -0.028635
  1889.300,   -13.704163,    -0.001701
  1889.350,   -12.737742,    -0.000913
  1889.400,   -12.330893,     0.002592
  1889.450,   -12.504930,     0.002133
  1889.500,   -13.293856,    -0.000891
  1889.550,   -13.996477,     0.007815
  1889.600,   -14.046516,     0.022921
  1889.650,   -13.147712,     0.028440
  1889.700,   -11.093221,     0.032515
  1889.750,    -7.976316,     0.003636
  1889.800,    -4.277502,    -0.009898
  1889.850,    -0.396146,    -0.032092
  1889.900,     3.528799,    -0.002978
  1889.950,     7.292835,    -0.022802
  1890.000,    10.338560,    -0.052493
  1890.050,    12.695344,    -0.021892
  1890.100,    14.183896,    -0.049135
  1890.150,    14.546585,    -0.041434
  1890.200,    13.766872,    -0.024163
  1890.250,    11.993321,    -0.029990
  1890.300,     9.274780,    -0.029077
  1890.350,     5.909695,    -0.015564
  1890.400,     2.348117,    -0.013141
  1890.450,    -1.128252,     0.010038
  1890.500,    -4.506305,     0.027991
  1890.550,    -7.459451,     0.018670
  1890.600,    -9.932279,     0.010381
  1890.650,   -11.848931,     0.018850
  1890.700,   -13.056416,     0.007263
  1890.750,   -13.694888,    -0.003004
  1890.800,   -13.755019,    -0.007104
  1890.850,   -13.267479,    -0.001717
  1890.900,   -12.520573,     0.006379
  1890.950,   -11.400061,    -0.009775
  1891.000,   -10.213835,    -0.039246
  1891.050,    -8.815046,    -0.044113
  1891.100,    -7.306836,    -0.040137
  1891.150,    -5.357542,    -0.044704
  1891.200,    -3.064944,    -0.036587
  1891.250,    -0.642122,    -0.043653
  1891.300,     1.564397,    -0.022968
  1891.350,     3.301972,    -0.027085
  1891.400,     4.719047,    -0.029297
  1891.450,     5.832743,    -0.003587
  1891.500,     6.579650,     0.015568
  1891.550,     7.072485,     0.018770
  1891.600,     7.210858,     0.016132
  1891.650,     7.396365,     0.004497
  1891.700,     7.610186,    -0.008290
  1891.750,     7.847685,     0.006208
  1891.800,     8.127617,     0.007614
  1891.850,     8.409318,     0.016803
  1891.900,     8.609267,    -0.002287
  1891.950,     8.794729,    -0.004369
  1892.000,     8.767781,     0.004487
  1892.050,     8.413852,    -0.019045
  1892.100,     7.757643,    -0.033227
  1892.150,     6.785424,    -0.035855
  1892.200,     5.641239,    -0.016833
  1892.250,     4.353909,    -0.008779
  1892.300,     2.889499,    -0.007698
  1892.350,     1.382263,    -0.013455
  1892.400,    -0.154098,    -0.031499
  1892.450,    -1.741915,    -0.026610
  1892.500,    -3.262030,     0.008753
  1892.550,    -4.571519,     0.009995
  1892.600,    -5.407762,     0.014374
  1892.650,    -5.664969,    -0.045416
  1892.700,    -5.472751,    -0.036452
  1892.750,    -4.699597,    -0.000486
  1892.800,    -3.652663,    -0.008257
  1892.850,    -2.569005,    -0.031534
  1892.900,    -1.434531,    -0.023836
  1892.950,    -0.565627,    -0.025730
  1893.000,     0.039835,    -0.020713
  1893.050,     0.364971,    -0.010494
  1893.100,     0.640422,    -0.010403
  1893.150,     0.766029,     0.004041
  1893.200,     0.870440,     0.018348
  1893.250,     1.202671,    -0.003387
